,Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
1236,W. Thomas,30,England,67,67,Oxford United,ST,59.0,43.0,45.0,63.0,53.0,59.0,45.0,43.0,53.0,45.0,63.0,60.0,66.0,61.0,46.0,59.0,45.0,43.0,53.0,45.0,63.0,60.0,66.0,61.0,46.0,66.0
1237,B. McKay,28,Northern Ireland,67,67,Ross County FC,ST,64.0,47.0,50.0,65.0,59.0,64.0,50.0,47.0,59.0,50.0,65.0,63.0,66.0,64.0,52.0,64.0,50.0,47.0,59.0,50.0,65.0,63.0,66.0,64.0,52.0,66.0
1238,A. Ivan,20,Romania,67,79,FC Krasnodar,ST,66.0,52.0,54.0,67.0,61.0,66.0,55.0,52.0,61.0,54.0,67.0,66.0,68.0,67.0,56.0,66.0,55.0,52.0,61.0,54.0,67.0,66.0,68.0,67.0,56.0,68.0
1239,M. Keita,26,Norway,67,67,New York Red Bulls,ST,65.0,41.0,48.0,66.0,59.0,65.0,49.0,41.0,59.0,48.0,66.0,66.0,64.0,67.0,53.0,65.0,49.0,41.0,59.0,48.0,66.0,66.0,64.0,67.0,53.0,64.0
1240,S. Beavon,33,England,67,67,Coventry City,ST,63.0,46.0,50.0,65.0,59.0,63.0,50.0,46.0,59.0,50.0,65.0,64.0,66.0,65.0,52.0,63.0,50.0,46.0,59.0,50.0,65.0,64.0,66.0,65.0,52.0,66.0
1241,M. Marković,27,Serbia,67,67,FC SKA-Energiya Khabarovsk,ST,60.0,58.0,55.0,62.0,57.0,60.0,56.0,58.0,57.0,55.0,62.0,61.0,66.0,62.0,56.0,60.0,56.0,58.0,57.0,55.0,62.0,61.0,66.0,62.0,56.0,66.0
1242,Y. Toyoda,32,Japan,67,67,Sagan Tosu,ST,57.0,45.0,44.0,61.0,52.0,57.0,42.0,45.0,52.0,44.0,61.0,55.0,66.0,57.0,43.0,57.0,42.0,45.0,52.0,44.0,61.0,55.0,66.0,57.0,43.0,66.0
1243,A. Zrelak,23,Slovakia,67,76,1. FC Nürnberg,ST,56.0,44.0,42.0,61.0,50.0,56.0,43.0,44.0,50.0,42.0,61.0,57.0,66.0,59.0,44.0,56.0,43.0,44.0,50.0,42.0,61.0,57.0,66.0,59.0,44.0,66.0
1244,K. Biliński,29,Poland,67,67,Wisła Płock,ST,62.0,39.0,44.0,64.0,57.0,62.0,43.0,39.0,57.0,44.0,64.0,63.0,66.0,63.0,46.0,62.0,43.0,39.0,57.0,44.0,64.0,63.0,66.0,63.0,46.0,66.0
1245,H. Diallo,22,Senegal,67,75,Stade Brestois 29,ST,61.0,40.0,42.0,63.0,54.0,61.0,41.0,40.0,54.0,42.0,63.0,59.0,66.0,61.0,42.0,61.0,41.0,40.0,54.0,42.0,63.0,59.0,66.0,61.0,42.0,66.0
1246,S. Cox,30,Republic of Ireland,67,67,Southend United,ST,65.0,47.0,51.0,66.0,60.0,65.0,49.0,47.0,60.0,51.0,66.0,64.0,66.0,65.0,52.0,65.0,49.0,47.0,60.0,51.0,66.0,64.0,66.0,65.0,52.0,66.0
1247,R. Maeda,35,Japan,67,67,F.C. Tokyo,ST,65.0,58.0,59.0,64.0,64.0,65.0,54.0,58.0,64.0,59.0,64.0,61.0,66.0,62.0,55.0,65.0,54.0,58.0,64.0,59.0,64.0,61.0,66.0,62.0,55.0,66.0
1248,Heliardo,25,Brazil,67,70,Tondela,ST,57.0,41.0,43.0,61.0,52.0,57.0,40.0,41.0,52.0,43.0,61.0,57.0,66.0,58.0,43.0,57.0,40.0,41.0,52.0,43.0,61.0,57.0,66.0,58.0,43.0,66.0
1249,S. Díaz,19,Paraguay,67,81,CD Lugo,ST,68.0,39.0,47.0,68.0,62.0,68.0,48.0,39.0,62.0,47.0,68.0,66.0,66.0,68.0,51.0,68.0,48.0,39.0,62.0,47.0,68.0,66.0,66.0,68.0,51.0,66.0
1250,Ramon Lopes,27,Brazil,67,67,Kashiwa Reysol,ST,65.0,46.0,50.0,65.0,61.0,65.0,50.0,46.0,61.0,50.0,65.0,65.0,66.0,65.0,52.0,65.0,50.0,46.0,61.0,50.0,65.0,65.0,66.0,65.0,52.0,66.0
1251,T. Høiland,28,Norway,67,67,Viking FK,ST,60.0,49.0,50.0,64.0,55.0,60.0,51.0,49.0,55.0,50.0,64.0,63.0,66.0,64.0,53.0,60.0,51.0,49.0,55.0,50.0,64.0,63.0,66.0,64.0,53.0,66.0
1252,E. Soriano,28,Germany,67,67,Korona Kielce,ST,59.0,43.0,45.0,63.0,54.0,59.0,46.0,43.0,54.0,45.0,63.0,62.0,66.0,62.0,48.0,59.0,46.0,43.0,54.0,45.0,63.0,62.0,66.0,62.0,48.0,66.0
1253,O. Occéan,35,Canada,67,67,Odds BK,ST,61.0,51.0,50.0,63.0,57.0,61.0,49.0,51.0,57.0,50.0,63.0,60.0,66.0,61.0,51.0,61.0,49.0,51.0,57.0,50.0,63.0,60.0,66.0,61.0,51.0,66.0
1254,F. González,30,Argentina,67,67,Puebla,ST,66.0,45.0,51.0,67.0,62.0,66.0,49.0,45.0,62.0,51.0,67.0,66.0,66.0,67.0,52.0,66.0,49.0,45.0,62.0,51.0,67.0,66.0,66.0,67.0,52.0,66.0
1255,H. Kanazono,28,Japan,67,67,Hokkaido Consadole Sapporo,ST,58.0,41.0,40.0,62.0,50.0,58.0,39.0,41.0,50.0,40.0,62.0,55.0,66.0,58.0,40.0,58.0,39.0,41.0,50.0,40.0,62.0,55.0,66.0,58.0,40.0,66.0
1256,Manel,25,Spain,67,72,Lorca Deportiva CF,ST,60.0,45.0,45.0,63.0,54.0,60.0,43.0,45.0,54.0,45.0,63.0,58.0,66.0,60.0,45.0,60.0,43.0,45.0,54.0,45.0,63.0,58.0,66.0,60.0,45.0,66.0
1257,Z. El Azzouzi,21,Morocco,67,74,Excelsior,ST,65.0,37.0,42.0,66.0,56.0,65.0,43.0,37.0,56.0,42.0,66.0,64.0,66.0,66.0,46.0,65.0,43.0,37.0,56.0,42.0,66.0,64.0,66.0,66.0,46.0,66.0
1258,M. Kudo,27,Japan,67,68,Sanfrecce Hiroshima,ST,63.0,39.0,44.0,65.0,57.0,63.0,45.0,39.0,57.0,44.0,65.0,64.0,66.0,65.0,47.0,63.0,45.0,39.0,57.0,44.0,65.0,64.0,66.0,65.0,47.0,66.0
1259,Asdrúbal,26,Spain,67,70,Central Coast Mariners,ST,66.0,43.0,49.0,67.0,60.0,66.0,47.0,43.0,60.0,49.0,67.0,67.0,66.0,67.0,51.0,66.0,47.0,43.0,60.0,49.0,67.0,67.0,66.0,67.0,51.0,66.0
1260,J. Hernández,24,Venezuela,67,72,CF Os Belenenses,ST,59.0,36.0,38.0,63.0,51.0,59.0,40.0,36.0,51.0,38.0,63.0,58.0,66.0,61.0,42.0,59.0,40.0,36.0,51.0,38.0,63.0,58.0,66.0,61.0,42.0,66.0
1261,E. Herrera,30,Argentina,67,67,Lobos de la BUAP,ST,62.0,40.0,43.0,64.0,55.0,62.0,39.0,40.0,55.0,43.0,64.0,59.0,66.0,61.0,41.0,62.0,39.0,40.0,55.0,43.0,64.0,59.0,66.0,61.0,41.0,66.0
1262,J. Cummings,21,Scotland,67,75,Nottingham Forest,ST,63.0,47.0,50.0,66.0,58.0,63.0,49.0,47.0,58.0,50.0,66.0,61.0,66.0,63.0,51.0,63.0,49.0,47.0,58.0,50.0,66.0,61.0,66.0,63.0,51.0,66.0
1263,C. Soukou,24,Germany,67,73,FC Erzgebirge Aue,ST,65.0,42.0,48.0,65.0,59.0,65.0,49.0,42.0,59.0,48.0,65.0,66.0,64.0,66.0,52.0,65.0,49.0,42.0,59.0,48.0,65.0,66.0,64.0,66.0,52.0,64.0
1264,S. Pettinari,25,Italy,67,70,Pescara,ST,62.0,42.0,46.0,65.0,57.0,62.0,46.0,42.0,57.0,46.0,65.0,64.0,66.0,64.0,49.0,62.0,46.0,42.0,57.0,46.0,65.0,64.0,66.0,64.0,49.0,66.0
1265,P. Kirkevold,26,Norway,67,70,Hobro IK,ST,62.0,45.0,49.0,64.0,58.0,62.0,48.0,45.0,58.0,49.0,64.0,63.0,66.0,63.0,51.0,62.0,48.0,45.0,58.0,49.0,64.0,63.0,66.0,63.0,51.0,66.0
1266,J. Nsamé,24,Cameroon,67,72,BSC Young Boys,ST,60.0,36.0,38.0,63.0,51.0,60.0,38.0,36.0,51.0,38.0,63.0,57.0,66.0,60.0,40.0,60.0,38.0,36.0,51.0,38.0,63.0,57.0,66.0,60.0,40.0,66.0
1267,N. Çiftçi,25,Turkey,67,68,Plymouth Argyle,ST,63.0,49.0,48.0,65.0,56.0,63.0,48.0,49.0,56.0,48.0,65.0,61.0,66.0,63.0,49.0,63.0,48.0,49.0,56.0,48.0,65.0,61.0,66.0,63.0,49.0,66.0
1268,R. Festersen,30,Denmark,67,67,Odense Boldklub,ST,65.0,53.0,55.0,66.0,61.0,65.0,59.0,53.0,61.0,55.0,66.0,66.0,66.0,67.0,61.0,65.0,59.0,53.0,61.0,55.0,66.0,66.0,66.0,67.0,61.0,66.0
1269,A. Woźniak,27,Poland,67,67,Zagłębie Lubin,ST,65.0,46.0,51.0,66.0,61.0,65.0,49.0,46.0,61.0,51.0,66.0,66.0,66.0,66.0,52.0,65.0,49.0,46.0,61.0,51.0,66.0,66.0,66.0,66.0,52.0,66.0
1270,Jairo Morillas,23,Spain,67,72,RCD Espanyol,ST,59.0,44.0,44.0,63.0,53.0,59.0,46.0,44.0,53.0,44.0,63.0,58.0,66.0,61.0,47.0,59.0,46.0,44.0,53.0,44.0,63.0,58.0,66.0,61.0,47.0,66.0
1271,Z. Ondrášek,28,Czech Republic,67,67,Wisła Kraków,ST,60.0,47.0,49.0,63.0,56.0,60.0,47.0,47.0,56.0,49.0,63.0,62.0,66.0,61.0,49.0,60.0,47.0,47.0,56.0,49.0,63.0,62.0,66.0,61.0,49.0,66.0
1272,J. Verhoek,28,Netherlands,67,67,1. FC Heidenheim,ST,58.0,44.0,44.0,61.0,53.0,58.0,42.0,44.0,53.0,44.0,61.0,58.0,66.0,59.0,44.0,58.0,42.0,44.0,53.0,44.0,61.0,58.0,66.0,59.0,44.0,66.0
1273,M. Abdellaoue,28,Norway,67,67,Aalesunds FK,ST,61.0,41.0,45.0,64.0,55.0,61.0,47.0,41.0,55.0,45.0,64.0,62.0,66.0,64.0,50.0,61.0,47.0,41.0,55.0,45.0,64.0,62.0,66.0,64.0,50.0,66.0
1274,Q. Amarikwa,29,United States,67,67,San Jose Earthquakes,ST,65.0,43.0,46.0,66.0,56.0,65.0,44.0,43.0,56.0,46.0,66.0,64.0,66.0,66.0,47.0,65.0,44.0,43.0,56.0,46.0,66.0,64.0,66.0,66.0,47.0,66.0
1275,S. Chhetri,32,India,67,67,,ST,62.0,42.0,44.0,65.0,55.0,62.0,48.0,42.0,55.0,44.0,65.0,62.0,66.0,64.0,49.0,62.0,48.0,42.0,55.0,44.0,65.0,62.0,66.0,64.0,49.0,66.0
1276,I. Bulos,24,Peru,67,71,Boavista FC,ST,57.0,43.0,43.0,60.0,52.0,57.0,42.0,43.0,52.0,43.0,60.0,58.0,66.0,59.0,44.0,57.0,42.0,43.0,52.0,43.0,60.0,58.0,66.0,59.0,44.0,66.0
1277,Q. Antipas,33,Zimbabwe,67,67,Hobro IK,ST,66.0,45.0,49.0,68.0,60.0,66.0,50.0,45.0,60.0,49.0,68.0,68.0,67.0,68.0,53.0,66.0,50.0,45.0,60.0,49.0,68.0,68.0,67.0,68.0,53.0,67.0
1278,B. Labeau,21,France,67,77,Amiens SC Football,ST,64.0,37.0,41.0,65.0,56.0,64.0,40.0,37.0,56.0,41.0,65.0,61.0,66.0,63.0,42.0,64.0,40.0,37.0,56.0,41.0,65.0,61.0,66.0,63.0,42.0,66.0
1279,M. Spelmann,30,Denmark,67,67,Aarhus GF,ST,65.0,69.0,69.0,65.0,67.0,65.0,69.0,69.0,67.0,69.0,65.0,66.0,65.0,64.0,69.0,65.0,69.0,69.0,67.0,69.0,65.0,66.0,65.0,64.0,69.0,65.0
1280,W. Jebor,25,Liberia,67,69,Al Nassr,ST,58.0,45.0,43.0,63.0,50.0,58.0,44.0,45.0,50.0,43.0,63.0,57.0,66.0,60.0,45.0,58.0,44.0,45.0,50.0,43.0,63.0,57.0,66.0,60.0,45.0,66.0
1281,J. Ramis,27,Uruguay,67,67,Belgrano de Córdoba,ST,66.0,39.0,45.0,67.0,59.0,66.0,46.0,39.0,59.0,45.0,67.0,66.0,67.0,67.0,48.0,66.0,46.0,39.0,59.0,45.0,67.0,66.0,67.0,67.0,48.0,67.0
1282,Borja Domingo,21,Spain,67,75,Levante UD,ST,62.0,34.0,39.0,65.0,56.0,62.0,37.0,34.0,56.0,39.0,65.0,59.0,66.0,61.0,40.0,62.0,37.0,34.0,56.0,39.0,65.0,59.0,66.0,61.0,40.0,66.0
1283,Toquero,32,Spain,67,67,Real Zaragoza,ST,63.0,63.0,62.0,66.0,63.0,63.0,62.0,63.0,63.0,62.0,66.0,66.0,69.0,64.0,63.0,63.0,62.0,63.0,63.0,62.0,66.0,66.0,69.0,64.0,63.0,69.0
1284,J. Simpson,28,England,67,67,Philadelphia Union,ST,62.0,43.0,44.0,64.0,54.0,62.0,46.0,43.0,54.0,44.0,64.0,62.0,66.0,64.0,48.0,62.0,46.0,43.0,54.0,44.0,64.0,62.0,66.0,64.0,48.0,66.0
1285,K. Friesenbichler,23,Austria,67,72,FK Austria Wien,ST,58.0,37.0,36.0,62.0,49.0,58.0,37.0,37.0,49.0,36.0,62.0,56.0,66.0,59.0,38.0,58.0,37.0,37.0,49.0,36.0,62.0,56.0,66.0,59.0,38.0,66.0
1286,Z. Janjić,31,Bosnia Herzegovina,67,67,MSV Duisburg,ST,66.0,46.0,52.0,66.0,63.0,66.0,49.0,46.0,63.0,52.0,66.0,66.0,67.0,67.0,52.0,66.0,49.0,46.0,63.0,52.0,66.0,66.0,67.0,67.0,52.0,67.0
1287,S. Di Carmine,28,Italy,67,67,Perugia,ST,59.0,43.0,43.0,63.0,52.0,59.0,43.0,43.0,52.0,43.0,63.0,57.0,66.0,60.0,44.0,59.0,43.0,43.0,52.0,43.0,63.0,57.0,66.0,60.0,44.0,66.0
1288,V. Vermeij,22,Netherlands,67,74,Heracles Almelo,ST,60.0,43.0,44.0,62.0,55.0,60.0,44.0,43.0,55.0,44.0,62.0,60.0,66.0,59.0,46.0,60.0,44.0,43.0,55.0,44.0,62.0,60.0,66.0,59.0,46.0,66.0
1289,N. Scatopano,33,Chile,67,67,San Luis de Quillota,ST,61.0,42.0,44.0,64.0,55.0,61.0,44.0,42.0,55.0,44.0,64.0,61.0,66.0,62.0,46.0,61.0,44.0,42.0,55.0,44.0,64.0,61.0,66.0,62.0,46.0,66.0
1290,D. Thomalla,24,Germany,67,70,1. FC Heidenheim,ST,63.0,44.0,49.0,65.0,58.0,63.0,50.0,44.0,58.0,49.0,65.0,63.0,66.0,64.0,52.0,63.0,50.0,44.0,58.0,49.0,65.0,63.0,66.0,64.0,52.0,66.0
1291,M. Turay,22,Sierra Leone,67,75,AFC Eskilstuna,ST,63.0,40.0,41.0,66.0,53.0,63.0,44.0,40.0,53.0,41.0,66.0,63.0,66.0,65.0,47.0,63.0,44.0,40.0,53.0,41.0,66.0,63.0,66.0,65.0,47.0,66.0
1292,Chumbi,28,Spain,67,67,Lorca Deportiva CF,ST,62.0,43.0,46.0,65.0,56.0,62.0,46.0,43.0,56.0,46.0,65.0,63.0,66.0,64.0,49.0,62.0,46.0,43.0,56.0,46.0,65.0,63.0,66.0,64.0,49.0,66.0
1293,S. Iljutcenko,26,Russia,67,68,MSV Duisburg,ST,60.0,43.0,45.0,64.0,54.0,60.0,46.0,43.0,54.0,45.0,64.0,61.0,66.0,63.0,48.0,60.0,46.0,43.0,54.0,45.0,64.0,61.0,66.0,63.0,48.0,66.0
1294,L. Rinaldi,23,Argentina,67,71,Brescia,ST,63.0,41.0,45.0,65.0,58.0,63.0,44.0,41.0,58.0,45.0,65.0,63.0,66.0,63.0,47.0,63.0,44.0,41.0,58.0,45.0,65.0,63.0,66.0,63.0,47.0,66.0
1295,M. Smith,28,England,67,67,Queens Park Rangers,ST,56.0,50.0,48.0,59.0,53.0,56.0,43.0,50.0,53.0,48.0,59.0,54.0,66.0,54.0,44.0,56.0,43.0,50.0,53.0,48.0,59.0,54.0,66.0,54.0,44.0,66.0
1296,H. Veerman,26,Netherlands,67,68,SC Heerenveen,ST,54.0,44.0,42.0,59.0,49.0,54.0,37.0,44.0,49.0,42.0,59.0,51.0,66.0,52.0,39.0,54.0,37.0,44.0,49.0,42.0,59.0,51.0,66.0,52.0,39.0,66.0
1297,F. Herbers,23,Germany,67,71,Philadelphia Union,ST,64.0,55.0,57.0,65.0,62.0,64.0,58.0,55.0,62.0,57.0,65.0,66.0,64.0,65.0,59.0,64.0,58.0,55.0,62.0,57.0,65.0,66.0,64.0,65.0,59.0,64.0
1298,S. Umar,20,Nigeria,67,80,Torino,ST,62.0,36.0,40.0,65.0,54.0,62.0,41.0,36.0,54.0,40.0,65.0,61.0,66.0,63.0,44.0,62.0,41.0,36.0,54.0,40.0,65.0,61.0,66.0,63.0,44.0,66.0
1299,M. Zachara,27,Poland,67,67,Tondela,ST,58.0,48.0,46.0,62.0,52.0,58.0,51.0,48.0,52.0,46.0,62.0,59.0,66.0,61.0,51.0,58.0,51.0,48.0,52.0,46.0,62.0,59.0,66.0,61.0,51.0,66.0
1300,M. Grüttner,31,Germany,67,67, SSV Jahn Regensburg,ST,59.0,47.0,46.0,62.0,53.0,59.0,45.0,47.0,53.0,46.0,62.0,57.0,66.0,59.0,46.0,59.0,45.0,47.0,53.0,46.0,62.0,57.0,66.0,59.0,46.0,66.0
1301,A. Araujo,20,Portugal,67,76,GFC Ajaccio,ST,66.0,36.0,45.0,66.0,59.0,66.0,45.0,36.0,59.0,45.0,66.0,67.0,61.0,67.0,49.0,66.0,45.0,36.0,59.0,45.0,66.0,67.0,61.0,67.0,49.0,61.0
1302,S. Ganz,23,Italy,67,74,Pescara,ST,63.0,38.0,42.0,64.0,56.0,63.0,44.0,38.0,56.0,42.0,64.0,62.0,66.0,63.0,46.0,63.0,44.0,38.0,56.0,42.0,64.0,62.0,66.0,63.0,46.0,66.0
1303,G. Madine,26,England,67,67,Bolton Wanderers,ST,58.0,47.0,47.0,61.0,53.0,58.0,45.0,47.0,53.0,47.0,61.0,58.0,66.0,59.0,46.0,58.0,45.0,47.0,53.0,47.0,61.0,58.0,66.0,59.0,46.0,66.0
1304,K. Piątek,22,Poland,67,73,Cracovia,ST,62.0,46.0,47.0,64.0,56.0,62.0,50.0,46.0,56.0,47.0,64.0,62.0,66.0,63.0,51.0,62.0,50.0,46.0,56.0,47.0,64.0,62.0,66.0,63.0,51.0,66.0
1305,Vincente Dourado,33,Brazil,67,67,Associação Chapecoense de Futebol,ST,61.0,42.0,44.0,64.0,55.0,61.0,44.0,42.0,55.0,44.0,64.0,61.0,66.0,62.0,46.0,61.0,44.0,42.0,55.0,44.0,64.0,61.0,66.0,62.0,46.0,66.0
1306,S. Michel,26,Germany,67,67,SC Paderborn 07,ST,64.0,42.0,48.0,65.0,58.0,64.0,49.0,42.0,58.0,48.0,65.0,66.0,64.0,66.0,52.0,64.0,49.0,42.0,58.0,48.0,65.0,66.0,64.0,66.0,52.0,64.0
1307,R. Rubin,21,United States,67,75,Stabæk Fotball,ST,68.0,41.0,47.0,68.0,61.0,68.0,46.0,41.0,61.0,47.0,68.0,65.0,66.0,67.0,48.0,68.0,46.0,41.0,61.0,47.0,68.0,65.0,66.0,67.0,48.0,66.0
1308,Han Kwang Song,18,Korea DPR,67,86,Perugia,ST,64.0,38.0,41.0,66.0,55.0,64.0,44.0,38.0,55.0,41.0,66.0,63.0,66.0,65.0,46.0,64.0,44.0,38.0,55.0,41.0,66.0,63.0,66.0,65.0,46.0,66.0
1309,D. Badji,24,Senegal,67,71,Colorado Rapids,ST,61.0,49.0,46.0,64.0,53.0,61.0,50.0,49.0,53.0,46.0,64.0,62.0,66.0,63.0,51.0,61.0,50.0,49.0,53.0,46.0,64.0,62.0,66.0,63.0,51.0,66.0
1310,M. Cejas,31,Argentina,67,67,Unión de Santa Fe,ST,66.0,52.0,55.0,66.0,63.0,66.0,55.0,52.0,63.0,55.0,66.0,67.0,66.0,67.0,57.0,66.0,55.0,52.0,63.0,55.0,66.0,67.0,66.0,67.0,57.0,66.0
1311,P. Frick,25,Sweden,67,70,IF Elfsborg,ST,62.0,49.0,50.0,64.0,58.0,62.0,48.0,49.0,58.0,50.0,64.0,62.0,66.0,63.0,49.0,62.0,48.0,49.0,58.0,50.0,64.0,62.0,66.0,63.0,49.0,66.0
1312,R. Manaj,20,Albania,67,78,Granada CF,ST,61.0,37.0,40.0,64.0,53.0,61.0,41.0,37.0,53.0,40.0,64.0,60.0,66.0,61.0,43.0,61.0,41.0,37.0,53.0,40.0,64.0,60.0,66.0,61.0,43.0,66.0
1313,G. Monachello,23,Italy,67,73,Palermo,ST,60.0,38.0,42.0,63.0,54.0,60.0,41.0,38.0,54.0,42.0,63.0,59.0,66.0,61.0,43.0,60.0,41.0,38.0,54.0,42.0,63.0,59.0,66.0,61.0,43.0,66.0
1314,K. Onuegbu,31,Nigeria,67,67,MSV Duisburg,ST,58.0,48.0,47.0,62.0,53.0,58.0,46.0,48.0,53.0,47.0,62.0,58.0,66.0,59.0,47.0,58.0,46.0,48.0,53.0,47.0,62.0,58.0,66.0,59.0,47.0,66.0
1315,F. Stanco,30,Italy,67,67,Cremonese,ST,59.0,48.0,46.0,62.0,53.0,59.0,45.0,48.0,53.0,46.0,62.0,57.0,66.0,59.0,45.0,59.0,45.0,48.0,53.0,46.0,62.0,57.0,66.0,59.0,45.0,66.0
1316,Cesinha,27,Brazil,67,67,Daegu FC,ST,66.0,35.0,41.0,68.0,57.0,66.0,43.0,35.0,57.0,41.0,68.0,66.0,67.0,67.0,47.0,66.0,43.0,35.0,57.0,41.0,68.0,66.0,67.0,67.0,47.0,67.0
1317,S. Hain,28,Germany,67,67,SpVgg Unterhaching,ST,65.0,37.0,42.0,67.0,56.0,65.0,43.0,37.0,56.0,42.0,67.0,65.0,66.0,67.0,47.0,65.0,43.0,37.0,56.0,42.0,67.0,65.0,66.0,67.0,47.0,66.0
1318,R. Vanegas,24,Colombia,67,72,Jaguares Fútbol Club,ST,64.0,42.0,46.0,66.0,58.0,64.0,48.0,42.0,58.0,46.0,66.0,66.0,65.0,66.0,50.0,64.0,48.0,42.0,58.0,46.0,66.0,66.0,65.0,66.0,50.0,65.0
1319,A. Fletcher,21,England,67,77,Middlesbrough,ST,60.0,41.0,41.0,64.0,52.0,60.0,41.0,41.0,52.0,41.0,64.0,58.0,66.0,61.0,42.0,60.0,41.0,41.0,52.0,41.0,64.0,58.0,66.0,61.0,42.0,66.0
1320,L. Nabab,29,France,67,67,US Orléans Loiret Football,ST,64.0,44.0,48.0,65.0,57.0,64.0,49.0,44.0,57.0,48.0,65.0,66.0,66.0,66.0,52.0,64.0,49.0,44.0,57.0,48.0,65.0,66.0,66.0,66.0,52.0,66.0
1321,Y. Bnou-Marzouk,21,Morocco,67,79,FC Lugano,ST,60.0,34.0,36.0,64.0,51.0,60.0,38.0,34.0,51.0,36.0,64.0,59.0,66.0,62.0,40.0,60.0,38.0,34.0,51.0,36.0,64.0,59.0,66.0,62.0,40.0,66.0
1322,W. Keane,24,England,67,71,Hull City,ST,65.0,45.0,49.0,66.0,59.0,65.0,47.0,45.0,59.0,49.0,66.0,63.0,66.0,64.0,49.0,65.0,47.0,45.0,59.0,49.0,66.0,63.0,66.0,64.0,49.0,66.0
1323,M. Benyettou,27,Algeria,67,67,Al Shabab,ST,59.0,38.0,39.0,62.0,50.0,59.0,39.0,38.0,50.0,39.0,62.0,59.0,66.0,61.0,41.0,59.0,39.0,38.0,50.0,39.0,62.0,59.0,66.0,61.0,41.0,66.0
1324,S. Nagasawa,28,Japan,67,67,Gamba Osaka,ST,59.0,40.0,41.0,62.0,52.0,59.0,40.0,40.0,52.0,41.0,62.0,57.0,66.0,60.0,42.0,59.0,40.0,40.0,52.0,41.0,62.0,57.0,66.0,60.0,42.0,66.0
1325,F. Etoundi,26,Cameroon,67,68,Kasimpaşa SK,ST,64.0,51.0,54.0,65.0,61.0,64.0,51.0,51.0,61.0,54.0,65.0,64.0,66.0,64.0,53.0,64.0,51.0,51.0,61.0,54.0,65.0,64.0,66.0,64.0,53.0,66.0
1326,A. Cocco,31,Italy,68,68,Pescara,ST,62.0,46.0,47.0,65.0,56.0,62.0,48.0,46.0,56.0,47.0,65.0,62.0,67.0,63.0,49.0,62.0,48.0,46.0,56.0,47.0,65.0,62.0,67.0,63.0,49.0,67.0
1327,N. Citro,28,Italy,68,68,Frosinone,ST,68.0,38.0,45.0,68.0,60.0,68.0,45.0,38.0,60.0,45.0,68.0,66.0,67.0,68.0,49.0,68.0,45.0,38.0,60.0,45.0,68.0,66.0,67.0,68.0,49.0,67.0
1328,A. Mbengue,25,Senegal,68,72,Terek Grozny,ST,61.0,38.0,40.0,65.0,53.0,61.0,43.0,38.0,53.0,40.0,65.0,60.0,67.0,62.0,45.0,61.0,43.0,38.0,53.0,40.0,65.0,60.0,67.0,62.0,45.0,67.0
1329,M. Đurić,27,Bosnia Herzegovina,68,69,Bristol City,ST,58.0,45.0,46.0,62.0,55.0,58.0,45.0,45.0,55.0,46.0,62.0,59.0,67.0,59.0,47.0,58.0,45.0,45.0,55.0,46.0,62.0,59.0,67.0,59.0,47.0,67.0
1330,I. Markelov,29,Russia,68,68,FC Anzhi Makhachkala,ST,65.0,42.0,47.0,66.0,59.0,65.0,51.0,42.0,59.0,47.0,66.0,67.0,67.0,67.0,53.0,65.0,51.0,42.0,59.0,47.0,66.0,67.0,67.0,67.0,53.0,67.0
1331,D. Brown,26,Jamaica,68,71,D.C. United,ST,62.0,48.0,48.0,66.0,55.0,62.0,50.0,48.0,55.0,48.0,66.0,62.0,67.0,64.0,51.0,62.0,50.0,48.0,55.0,48.0,66.0,62.0,67.0,64.0,51.0,67.0
1332,A. Yasin,26,Iraq,68,69,BK Häcken,ST,66.0,42.0,50.0,66.0,61.0,66.0,49.0,42.0,61.0,50.0,66.0,67.0,64.0,68.0,53.0,66.0,49.0,42.0,61.0,50.0,66.0,67.0,64.0,68.0,53.0,64.0
1333,S. Davies,29,England,68,68,Rochdale,ST,65.0,54.0,56.0,65.0,63.0,65.0,53.0,54.0,63.0,56.0,65.0,64.0,67.0,65.0,55.0,65.0,53.0,54.0,63.0,56.0,65.0,64.0,67.0,65.0,55.0,67.0
1334,C. González,24,Paraguay,68,73,Necaxa,ST,59.0,47.0,47.0,62.0,55.0,59.0,45.0,47.0,55.0,47.0,62.0,57.0,67.0,58.0,45.0,59.0,45.0,47.0,55.0,47.0,62.0,57.0,67.0,58.0,45.0,67.0
1335,L. Gregory,28,England,68,68,Millwall,ST,62.0,44.0,46.0,65.0,56.0,62.0,46.0,44.0,56.0,46.0,65.0,62.0,67.0,63.0,48.0,62.0,46.0,44.0,56.0,46.0,65.0,62.0,67.0,63.0,48.0,67.0
1336,M. Taylor,27,England,68,69,Bristol City,ST,66.0,40.0,45.0,67.0,60.0,66.0,45.0,40.0,60.0,45.0,67.0,65.0,67.0,66.0,48.0,66.0,45.0,40.0,60.0,45.0,67.0,65.0,67.0,66.0,48.0,67.0
